code,state
APT,Andhra Pradesh
APA,Arunachal Pradesh 
ASM,Assam
BHR,Bihar
CTH,Chattisgarh
GOA,Goa
GJT,Gujarat
HYA,Haryana
HMP,Himachal Pradesh
JKS,Jammu & Kashmir
JKD,Jharkhand
KTA,Karnataka
KLA,Kerala
MDP,Madhya Pradesh
MRA,Maharashtra
MNP,Manipur
MGL,Meghalaya
MRA,Mizoram
NGL,Nagaland
ODA,Orissa
PJB,Punjab
RJN,Rajasthan
SKM,Sikkim
TMN,Tamil Nadu
TPR,Tripura
UKD,Uttarakhand
UTP,Uttar Pradesh
WTB,West Bengal
ANI,A & N Islands
CHG,Chandigarh
DNH,D & N Haveli
DAD,Daman & Diu
DEL,Delhi
LKP,Lakshadweep
PDR,Puducherry
